id,job_name,specialization
1.395,Банковское ПО,"Информационные технологии, интернет, телеком"
1.400,Оптимизация сайта (SEO),"Информационные технологии, интернет, телеком"
1.420,Администратор баз данных,"Информационные технологии, интернет, телеком"
1.474,Стартапы,"Информационные технологии, интернет, телеком"
1.475,Игровое ПО,"Информационные технологии, интернет, телеком"
1.536,CRM системы,"Информационные технологии, интернет, телеком"
1.744,Другое,"Информационные технологии, интернет, телеком"
1.3,"CTO, CIO, Директор по IT","Информационные технологии, интернет, телеком"
1.9,Web инженер,"Информационные технологии, интернет, телеком"
1.10,Web мастер,"Информационные технологии, интернет, телеком"
1.25,Аналитик,"Информационные технологии, интернет, телеком"
1.30,Арт-директор,"Информационные технологии, интернет, телеком"
1.50,Системы управления предприятием (ERP),"Информационные технологии, интернет, телеком"
1.82,Инженер,"Информационные технологии, интернет, телеком"
1.89,Интернет,"Информационные технологии, интернет, телеком"
1.110,Компьютерная безопасность,"Информационные технологии, интернет, телеком"
1.113,"Консалтинг, Аутсорсинг","Информационные технологии, интернет, телеком"
1.116,Контент,"Информационные технологии, интернет, телеком"
1.117,Тестирование,"Информационные технологии, интернет, телеком"
1.137,Маркетинг,"Информационные технологии, интернет, телеком"
1.161,Мультимедиа,"Информационные технологии, интернет, телеком"
1.172,"Начальный уровень, Мало опыта","Информационные технологии, интернет, телеком"
1.203,Передача данных и доступ в интернет,"Информационные технологии, интернет, телеком"
1.211,"Поддержка, Helpdesk","Информационные технологии, интернет, телеком"
1.221,"Программирование, Разработка","Информационные технологии, интернет, телеком"
1.225,Продажи,"Информационные технологии, интернет, телеком"
1.232,Продюсер,"Информационные технологии, интернет, телеком"
1.246,Развитие бизнеса,"Информационные технологии, интернет, телеком"
1.270,Сетевые технологии,"Информационные технологии, интернет, телеком"
1.272,Системная интеграция,"Информационные технологии, интернет, телеком"
1.273,Системный администратор,"Информационные технологии, интернет, телеком"
1.274,Системы автоматизированного проектирования,"Информационные технологии, интернет, телеком"
1.277,"Сотовые, Беспроводные технологии","Информационные технологии, интернет, телеком"
1.295,Телекоммуникации,"Информационные технологии, интернет, телеком"
1.296,Технический писатель,"Информационные технологии, интернет, телеком"
1.327,Управление проектами,"Информационные технологии, интернет, телеком"
1.359,Электронная коммерция,"Информационные технологии, интернет, телеком"
20.396,Эксплуатация,"Строительство, недвижимость"
20.445,ЖКХ,"Строительство, недвижимость"
20.484,Геодезия и картография,"Строительство, недвижимость"
20.490,Рабочие строительных специальностей,"Строительство, недвижимость"
20.525,Землеустройство,"Строительство, недвижимость"
20.526,Оценка,"Строительство, недвижимость"
20.527,"Отопление, вентиляция и кондиционирование","Строительство, недвижимость"
20.528,Водоснабжение и канализация,"Строительство, недвижимость"
20.573,Тендеры,"Строительство, недвижимость"
20.755,Другое,"Строительство, недвижимость"
20.20,Агент,"Строительство, недвижимость"
20.58,"Гостиницы, Магазины","Строительство, недвижимость"
20.63,Дизайн/Оформление,"Строительство, недвижимость"
20.70,Жилье,"Строительство, недвижимость"
20.83,Инженер,"Строительство, недвижимость"
20.186,"Начальный уровень, Мало опыта","Строительство, недвижимость"
20.189,Нежилые помещения,"Строительство, недвижимость"
20.233,"Проектирование, Архитектура","Строительство, недвижимость"
20.287,Строительство,"Строительство, недвижимость"
20.325,Управление проектами,"Строительство, недвижимость"
20.375,Девелопер,"Строительство, недвижимость"
20.387,Прораб,"Строительство, недвижимость"
17.397,"Электротехническое оборудование, Светотехника",Продажи
17.401,Химическая продукция,Продажи
17.405,Сертификация,Продажи
17.417,Строительные материалы,Продажи
17.418,Сельское хозяйство,Продажи
17.440,"Текстиль, Одежда, Обувь",Продажи
17.441,Франчайзинг,Продажи
17.443,Мебель,Продажи
17.446,Системы безопасности,Продажи
17.486,Сантехника,Продажи
17.487,Бытовая техника,Продажи
17.520,Продавец в магазине,Продажи
17.535,Торговые сети,Продажи
17.538,"Продажи по телефону, Телемаркетинг",Продажи
17.572,Тендеры,Продажи
17.580,Клининговые услуги,Продажи
17.623,Финансовые услуги,Продажи
17.625,Решения по автоматизации процессов,Продажи
17.751,Другое,Продажи
17.15,"Автомобили, Запчасти",Продажи
17.24,Алкоголь,Продажи
17.59,"ГСМ, нефть, бензин",Продажи
17.65,Дилерские сети,Продажи
17.66,Дистрибуция,Продажи
17.111,Компьютерная техника,Продажи
17.112,Компьютерные программы,Продажи
17.144,"Медицина, Фармацевтика",Продажи
17.149,Менеджер по работе с клиентами,Продажи
17.152,Металлопрокат,Продажи
17.156,Многоуровневый маркетинг,Продажи
17.183,"Начальный уровень, Мало опыта",Продажи
17.196,Оптовая торговля,Продажи
17.231,Продукты питания,Продажи
17.242,Прямые продажи,Продажи
17.256,Розничная торговля,Продажи
17.269,"Телекоммуникации, Сетевые решения",Продажи
17.279,"Станки, тяжелое оборудование",Продажи
17.301,Товары для бизнеса,Продажи
17.302,"FMCG, Товары народного потребления",Продажи
17.303,Торговля биржевыми товарами,Продажи
17.306,Торговый представитель,Продажи
17.324,Управление продажами,Продажи
17.333,Услуги для бизнеса,Продажи
17.334,Услуги для населения,Продажи
17.350,Цветные металлы,Продажи
17.358,"Электроника, фото, видео",Продажи
13.398,Клинические исследования,"Медицина, фармацевтика"
13.432,Производство,"Медицина, фармацевтика"
13.433,Регистратура,"Медицина, фармацевтика"
13.438,Оптика,"Медицина, фармацевтика"
13.447,Психология,"Медицина, фармацевтика"
13.489,Медицинский представитель,"Медицина, фармацевтика"
13.537,Медицинский советник,"Медицина, фармацевтика"
13.567,"Дефектолог, Логопед","Медицина, фармацевтика"
13.578,Фармацевт,"Медицина, фармацевтика"
13.587,Врач-эксперт,"Медицина, фармацевтика"
13.732,Стоматология,"Медицина, фармацевтика"
13.748,Другое,"Медицина, фармацевтика"
13.49,Ветеринария,"Медицина, фармацевтика"
13.128,Лаборант,"Медицина, фармацевтика"
13.131,Лечащий врач,"Медицина, фармацевтика"
13.138,Маркетинг,"Медицина, фармацевтика"
13.155,Младший и средний медперсонал,"Медицина, фармацевтика"
13.185,"Начальный уровень, Мало опыта","Медицина, фармацевтика"
13.220,Провизор,"Медицина, фармацевтика"
13.227,Продажи,"Медицина, фармацевтика"
13.228,Лекарственные препараты,"Медицина, фармацевтика"
13.229,Медицинское оборудование,"Медицина, фармацевтика"
13.268,Сертификация,"Медицина, фармацевтика"
5.399,"Ипотека, Ипотечное кредитование","Банки, инвестиции, лизинг"
5.424,Паевые фонды,"Банки, инвестиции, лизинг"
5.426,Экономист,"Банки, инвестиции, лизинг"
5.444,Финансовый мониторинг,"Банки, инвестиции, лизинг"
5.450,Кредитование малого и среднего бизнеса,"Банки, инвестиции, лизинг"
5.457,Риски: операционные,"Банки, инвестиции, лизинг"
5.458,Риски: финансовые,"Банки, инвестиции, лизинг"
5.459,Риски: рыночные,"Банки, инвестиции, лизинг"
5.460,Автокредитование,"Банки, инвестиции, лизинг"
5.534,Факторинг,"Банки, инвестиции, лизинг"
5.579,Работа с проблемными заемщиками,"Банки, инвестиции, лизинг"
5.691,Private Banking,"Банки, инвестиции, лизинг"
5.735,Другое,"Банки, инвестиции, лизинг"
5.4,Forex,"Банки, инвестиции, лизинг"
5.23,"Акции, Ценные бумаги","Банки, инвестиции, лизинг"
5.27,Аналитик,"Банки, инвестиции, лизинг"
5.34,"Аудит, Внутренний контроль","Банки, инвестиции, лизинг"
5.41,Бумаги с фиксированной доходностью (fixed Income),"Банки, инвестиции, лизинг"
5.42,Бухгалтер,"Банки, инвестиции, лизинг"
5.45,Валютный контроль,"Банки, инвестиции, лизинг"
5.51,Внутренние операции (Back Office),"Банки, инвестиции, лизинг"
5.61,Денежный рынок (money market),"Банки, инвестиции, лизинг"
5.79,Инвестиционная компания,"Банки, инвестиции, лизинг"
5.101,"Трейдинг, Дилинг","Банки, инвестиции, лизинг"
5.103,"Кассовое обслуживание, инкассация","Банки, инвестиции, лизинг"
5.106,Коммерческий банк,"Банки, инвестиции, лизинг"
5.121,Корпоративное финансирование,"Банки, инвестиции, лизинг"
5.123,"Корреспондентские, Международные отношения","Банки, инвестиции, лизинг"
5.124,Риски: кредитные,"Банки, инвестиции, лизинг"
5.126,Кредиты,"Банки, инвестиции, лизинг"
5.132,Лизинг,"Банки, инвестиции, лизинг"
5.133,Риски: лизинговые,"Банки, инвестиции, лизинг"
5.163,Налоги,"Банки, инвестиции, лизинг"
5.177,"Начальный уровень, Мало опыта","Банки, инвестиции, лизинг"
5.192,"Обменные пункты, Банкоматы","Банки, инвестиции, лизинг"
